# time,glucose,G6P,F6P,FdP,GAP,PEP,PYR,6PG,G1P
0.01,1.72,3.52,0.6,0.27,0.22,2.63,2.72,0.81,0.65
0.02,1.72,3.56,0.61,0.27,0.22,2.59,2.76,0.81,0.65
0.03,1.72,3.6,0.62,0.27,0.22,2.55,2.81,0.81,0.65
0.04,1.72,3.63,0.62,0.27,0.22,2.52,2.85,0.81,0.65
0.05,1.72,3.67,0.63,0.27,0.22,2.5,2.89,0.81,0.65
0.06,1.72,3.7,0.63,0.27,0.22,2.48,2.92,0.81,0.65
0.07,1.72,3.72,0.64,0.28,0.22,2.46,2.96,0.81,0.65
0.08,1.72,3.75,0.64,0.28,0.22,2.44,2.99,0.81,0.65
0.09,1.72,3.78,0.65,0.28,0.22,2.43,3.02,0.81,0.66
0.1,1.72,3.8,0.65,0.28,0.22,2.41,3.05,0.81,0.66
0.11,1.72,3.82,0.66,0.28,0.22,2.4,3.08,0.81,0.66
0.12,1.72,3.84,0.66,0.28,0.22,2.39,3.1,0.81,0.66
0.13,1.72,3.87,0.66,0.28,0.22,2.37,3.13,0.81,0.66
0.14,1.72,3.88,0.67,0.28,0.22,2.36,3.15,0.81,0.66
0.15,1.72,3.9,0.67,0.29,0.22,2.35,3.18,0.81,0.66
0.16,1.72,3.92,0.67,0.29,0.22,2.34,3.2,0.81,0.66
0.17,1.72,3.94,0.68,0.29,0.22,2.33,3.22,0.81,0.66
0.18,1.72,3.96,0.68,0.29,0.22,2.32,3.24,0.81,0.66
0.19,1.72,3.97,0.68,0.29,0.22,2.31,3.26,0.81,0.66
0.2,1.72,3.99,0.68,0.29,0.22,2.3,3.28,0.81,0.66
0.21,1.72,4,0.69,0.3,0.22,2.3,3.3,0.81,0.66
0.22,1.72,4.02,0.69,0.3,0.22,2.29,3.32,0.81,0.66
0.23,1.71,4.03,0.69,0.3,0.22,2.28,3.34,0.81,0.67
0.24,1.71,4.04,0.69,0.3,0.22,2.27,3.36,0.81,0.67
0.25,1.71,4.06,0.7,0.3,0.22,2.26,3.37,0.81,0.67
0.26,1.71,4.07,0.7,0.31,0.22,2.25,3.39,0.81,0.67
